GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons Swing,de.weltraumschaf.commons.swing,SwingFrame,31,76,1,3,9,29,1,12,0,11
Commons Swing,de.weltraumschaf.commons.swing,MenuItemBuilder,18,30,2,0,4,9,2,5,1,5
Commons Swing,de.weltraumschaf.commons.swing,MenuBuilder,0,37,0,0,0,11,0,5,0,5
Commons Swing,de.weltraumschaf.commons.swing,ToolBarButtonBuilder,0,30,0,0,0,10,0,5,0,5
Commons Swing,de.weltraumschaf.commons.swing,ToolBarBuilder,0,36,0,0,0,9,0,5,0,5
Commons Swing,de.weltraumschaf.commons.swing,SwingFrame.new WindowAdapter() {...},0,12,0,0,0,3,0,2,0,2
Commons Swing,de.weltraumschaf.commons.swing,MenuBarBuilder,0,29,0,0,0,8,0,4,0,4
